selected_text_processed,sentiment
lovely,positive
nyappy,positive
na take ur,neutral
traumatize,negative
lol wish microsize,neutral
even play already pack ready go,neutral
allergic tonsils get swollen,negative
tough,negative
well,positive
nah bore,neutral
sqeaky clean fresh even though wear love two amaze,positive
yes read many,neutral
play grown,neutral
live,negative
tell want,neutral
na miss,negative
relax,positive
lovely,positive
amaze,positive
try connect go start work soon,neutral
sick,negative
seem really quiet jealous clearly exciting bed think,neutral
really spare buy new,negative
go,negative
feel smooth,positive
sweet,positive
ur,neutral
okay might tour long make,neutral
op dead like,neutral
since,neutral
haha,positive
stupid,negative
shop drop come bac,negative
like,positive
thank,neutral
around leave much,neutral
love,positive
somehow extend would close,neutral
yes join u require,neutral
hard,negative
terrible puffy dont think go,negative
last,positive
ever,negative
nup either whole free,neutral
feel like,neutral
lol suppose get twitter,neutral
think ever,negative
go girl,neutral
want,negative
bad,negative
like rest,neutral
think love wit physically attract although great,neutral
another great,positive
piss blair usual bake,neutral
need feel better asap do uni soon,neutral
happy,positive
watch,neutral
stupid,negative
want think,negative
nice still,neutral
bad,negative
miss,negative
unfortunately,negative
bad,positive
sure fabulous though sorry,neutral
get back work pretty good,positive
satz,neutral
would great love right go,positive
ear pop,neutral
bad,negative
back,negative
catch lose grey quiet,neutral
sick tire,negative
miss,negative
great,positive
finally go,positive
last weekday next,neutral
gorgeous,positive
hysterical,positive
ok turn twitter get new go fully charge dead,neutral
hot,neutral
much,positive
one like boil,neutral
love,positive
ugh,negative
please get better picture real bad compare take,neutral
good,positive
lose,negative
though go well,negative
hook already,neutral
good,positive
agree would excite go ohhhh nooooo,neutral
leave list,neutral
ooo yummy come soon huh oh hunt combo think find one,neutral
back,negative
bore,negative
hat,negative
start new limited different check,neutral
think vega good see,neutral
one another,neutral
happy,positive
oooo ok accept,neutral
love good,positive
available,negative
friday free oh well,neutral
try win,neutral
go follow ok,neutral
let skip buy new pinkish,neutral
come,neutral
worse,negative
would help study aptitude,positive
kurumi,neutral
love,positive
right,neutral
still empty,negative
nice,positive
exam go get license renew birthday get,neutral
gon na rain,neutral
good,positive
sign w evrything,neutral
lose,negative
close enough could run get one,neutral
totally austin withdrawl darrius mommy minne,neutral
pretty,positive
senior last,neutral
one,negative
get closer rather real chicago,neutral
lose laugh still wonder,neutral
get,negative
na scare rachel shall fun,neutral
omg want,negative
watch,neutral
special,positive
great,positive
soon soon,neutral
anneliese want,neutral
hungry bring takeaway much longer go,neutral
pretty,positive
invite instead,neutral
dead stop express would happen choose take ugh hopefully get move,neutral
okeefe secret much,neutral
fail sometimes,negative
gear post cant set,neutral
remind much omaha calvin wear,neutral
give twitter hope,positive
love,positive
gorgeous,positive
relax look forward,positive
laptop grow watch,neutral
terrible,negative
sick go outside,negative
good,positive
excite,positive
like next,neutral
bad,negative
screw,negative
get laid become unemployed,negative
go anytime,neutral
like,positive
run gym wake go record,neutral
never know,negative
break,negative
disappoint,negative
avalina,negative
want anthropomorphic available,neutral
beautiful outside shame stuck shut stop,neutral
start,neutral
creative miss tweet,neutral
lovely,positive
nice come,negative
busy bankholiday gd,positive
better,positive
ride hard,positive
check design notary know think,neutral
welcome back,positive
sore,negative
try solve whose,neutral
awwww love old sad,neutral
reply,neutral
watch another,neutral
stupid,negative
try new,neutral
early go back sleeep,neutral
refusn get,negative
oh wow ok u take,neutral
die wait magic,neutral
one greatest ever,positive
rain,negative
shower take,positive
great,positive
great,positive
goodmorning oh gosh wake soooo nice oh hai thar happy,positive
love,positive
go pick store comix,neutral
amaze,positive
completely lose,negative
need follow,neutral
get set get lock put door win neglect,neutral
silly,negative
great awesome work somehow started work,positive
beasted,negative
listen,neutral
oh u hit see,neutral
sit na like,neutral
unsalvageable,negative
flew great shame one,neutral
go sleep consider,neutral
told often wash would never speak,neutral
end,negative
seem disappeared,negative
happy every everywhere stroll later hopefully,positive
ohhh na go gahhh,neutral
best,positive
go long,neutral
better come else,positive
take long,neutral
well,positive
go fail final,negative
sad say fat,negative
might take,neutral
major,negative
much want load call,neutral
stupid,negative
relax,positive
yessir right,positive
great,positive
vip di straight yg dikasih crowd,neutral
well hit see,neutral
good,positive
shower,neutral
dooooooooown,positive
get ta buddy,neutral
expensive,negative
tire,negative
happy,positive
finally yay seriously make oh,neutral
get ready good english,neutral
wait put know put boooo,neutral
work,neutral
farrah,neutral
ginniejean mojo,neutral
third go well move fourth,neutral
tire miss terribly,negative
finally start,neutral
good,positive
good,positive
miss,negative
yeah go im try get back,neutral
miss u prob,positive
make sure alright get friend u aha,neutral
ahve copy public personal first big,neutral
try,neutral
leave xrays,neutral
go see hannah love still cant though,neutral
would slip,negative
look forward,positive
well paisley one around funny bad,neutral
wait,positive
do always end go back,neutral
sorry though,negative
sit bore titanic wait good start,neutral
urban,neutral
believe,negative
well,neutral
crazzyyyy close,neutral
tweeple early,neutral
really amuse,positive
bad,positive
strongly agree jason sorry,neutral
late go,negative
lose internet,negative
good sadly couldnt piss tonight drive bad,positive
everywhere,negative
pulled get go fell asleep later r,neutral
search cook even eat,neutral
wake fell back sleep wake back sleep wake stay,neutral
great,positive
tiiiiiiired go,negative
lol around,neutral
get delayed internet mess,negative
tell burnsy rocky enlgland,neutral
good,positive
could get away go,neutral
sort,positive
enjoy,positive
ok back pack sit charge leave,neutral
sadly often,negative
good,positive
invisible help boost recycle honest,positive
na right whole turn ipod bsb,neutral
pretty,positive
really love,positive
sadly,negative
kickable,neutral
also saw u american great see u,neutral
nice,positive
happy,positive
finish watch,neutral
enjoy,positive
seem love felt lazy repetative really disappointed,neutral
think ship shut completely still freight,neutral
get lucky take kill another,neutral
happy,positive
bad,negative
long,neutral
follow cant,neutral
poorly,negative
happy,positive
pick taco get,neutral
later,negative
sell,neutral
whoaa kinda hard one interest enough,neutral
best,positive
listen alone lol want,neutral
put notice little ago last friday,neutral
oh boy hooked look kewl least think take,neutral
cant,positive
yes please go might actually get do,neutral
really get sick,negative
stalkerishly,negative
call mum,neutral
lazy play xbox,neutral
disappoint,negative
hopefully,positive
texted told chase backyard awwwww,neutral
happy,positive
kill know good,neutral
could go,positive
ready go,neutral
diet last good last lose better,neutral
excite,positive
back kill keep drop low get back tho,neutral
mad get,negative
winter come cant,neutral
feel good,negative
show even tho,positive
finish watch final omg dont cry hard finally understand,positive
glad friday two lazy bad nice,neutral
good,positive
best,negative
feel homely freddie,positive
remember,neutral
hee give u haha,neutral
get ready,neutral
remember,negative
need get u email ur,neutral
wish,positive
happy,positive
better,positive
horrible,negative
turn human,positive
yep classic start say,neutral
savvv,positive
sleep screw,positive
easy find,negative
may fourth happy,positive
lucky never,negative
take yucky,negative
good,positive
happy,positive
med get check strep,neutral
either always train,neutral
tire,negative
good,positive
good,negative
write,positive
busy see replied,positive
bad,negative
log yet doubt must keep try,neutral
content,neutral
feel lot better like good lousy write,neutral
pretty much figure,positive
scar,negative
esther,neutral
happy lexus nice one,positive
last,neutral
extra get ready study,neutral
afraid,neutral
bad,negative
go go shower ready,neutral
cuz really like sleep late even try,negative
still stick,negative
never reply,neutral
could kidnap,neutral
ut would good,positive
maar,neutral
lose,negative
enthu right anshul,neutral
go next,neutral
kill,negative
back,neutral
look sunny,neutral
awww let better next,positive
yoyo refuse gutted heard good tho next come prepared,neutral
ah well see find u later tempt leica could go check,neutral
u read fall apart new come nxt wk keep fallin,neutral
hhahaa well strange wake empty ahah lolllllyyyyyyyy,neutral
make,neutral
n bout make,neutral
good,positive
come online unread well backlog,neutral
much better,positive
great,positive
like,positive
yeah totally suck able ff,neutral
accidentally,negative
much,positive
happy,positive
better know go tonight right,neutral
im stick inside elk grove work,neutral
please feel free,positive
nice,positive
think,positive
amazi,positive
yeah especially get ppl sound goooooood,positive
good na catch love,neutral
th,positive
even drunk think use,neutral
happy,positive
touch hrs kill head must fly singapore often,neutral
wow,neutral
hard,negative
good,positive
send u could reply,neutral
laugh,positive
leave light nom,neutral
poor,negative
uploading myspace,neutral
kinda funny still favorite,neutral
lol extremely jealous,neutral
loose,negative
think think,neutral
nice,positive
happy,positive
get back donate,neutral
tire,negative
another see,neutral
aw toy come next,positive
leave yet,neutral
happy,positive
go,neutral
good good,positive
would sooooo make dis one,positive
listen dashboard confessional concert may,neutral
alone,negative
n interest,positive
nice back,positive
slow big sick much much much,neutral
well do yet leave huaaahhhhh,neutral
right plus twitteraddict well almost likely,neutral
omg hot,neutral
ugh,negative
little felted look like incestuous two,positive
super,negative
jealous ur fish get ur kid,neutral
terrible,negative
happy,positive
happy,positive
happy,positive
wonder get respond,neutral
android look,neutral
ok think take invent,neutral
happy,positive
boys order medici white bread pudding,neutral
funkey talk magento amf,neutral
e expensive,negative
likely live move back,neutral
x,positive
oh,neutral
never get right,neutral
sad,negative
nate likely,neutral
poor,negative
beautiful badly neaby see amt go,neutral
one,negative
free bell rang,neutral
aaaaaaaahhhhhhhh hate learn native always best,neutral
love best,positive
totally gutted,negative
like,negative
know go,neutral
get though idk na happen,neutral
safari back non save,neutral
oppose sl fun already many distract,positive
want back,neutral
still train goin,neutral
u fall love get fewer fewer,negative
back later,neutral
fusterated,negative
smack good,positive
could play guitar get ago collect dust need learn,neutral
balance chin sixth common get hang good,positive
talk first,neutral
come think good,neutral
bad,negative
jealous,negative
say next na miss go come back beautiful though,neutral
jealous,negative
neither longer want fairness whatever say,neutral
might really join,positive
robots ok ttfn oh,neutral
share,positive
poor,negative
nasty,negative
nice,positive
wait lunchhhhhhhh do fifteen,neutral
scar look like go go,positive
glad ur u endure,neutral
sick like delirious,negative
great,positive
great channing,neutral
reply,positive
lappy,negative
definitely,positive
good,positive
definitely best,positive
miss already,negative
feel free,positive
since predict happen go,neutral
follow,neutral
want whole,neutral
oh yes think almost every dress buy one guilty take back,neutral
icarly,positive
may,neutral
start go im get,neutral
dazzle,neutral
think suppose guess try tho,neutral
go uni quite,neutral
miss,negative
glad see sun great,positive
yes put inside else,neutral
try cover wear scarf go,neutral
na iphone full,neutral
lose,negative
get better soon,positive
tire happy babysitting really fun,neutral
wont,negative
sheeeeit wish cafe,neutral
cancel,negative
flat,neutral
adorable,positive
favorite list,positive
know,neutral
want actually sun,neutral
get much,negative
beautiful,positive
think ever early sunday meanwhile,neutral
like take afford look forward dfb final though go,neutral
marguerite dianne new tweetville active,neutral
sadly,negative
take need dr take else n red,neutral
get link,neutral
want,negative
irratated,negative
colorful ive see wow,positive
get,neutral
yeah go bed,negative
like,positive
totally welcome,positive
american forever watch right run naked around would would,neutral
im fan new even tho behind haha keep good,positive
say,neutral
go till maybe ride take,neutral
nice,positive
ching chong wong,neutral
good,positive
suppose last,neutral
listen new steal,neutral
sleep put new,neutral
say livejournal ok back,neutral
emotional,negative
good,positive
main center take,neutral
great,positive
dress,negative
live long,positive
get im well tired though ryan stone,neutral
u go come italy tell,neutral
finish proof wed wait still,neutral
want sit instead qo,neutral
wait new,neutral
dad six ago become left fourteen ago long,neutral
lose,negative
much,negative
late get earful please get better,neutral
get outta,neutral
google,neutral
would midnight thurs,neutral
omg believe go,neutral
tonight well anyway,positive
underpriveledged,negative
e swine,negative
happy,positive
wake early,neutral
look swing climb build,neutral
one ever understand,negative
overslept,negative
g,positive
happy dayyyy,positive
go,neutral
amazing,positive
good,neutral
try disable,neutral
late,negative
start better,neutral
feed cook yeah right like normal,neutral
answer,neutral
well,positive
feel,negative
watch,neutral
hard,negative
realize next really need get,neutral
also wish could see play uk sell reply,neutral
return,neutral
oh keep work always make little smaller,neutral
best good,positive
happy,positive
last go miss buy bottle,neutral
love ac see online yet cant buy look amaze,positive
long feel bit better soon,neutral
might cornerstone,neutral
feel guilty luxurious saw get excited,neutral
like library equivalent somewhere else ref somewhere,neutral
feel guilty,negative
keep good,neutral
really cant,negative
damn damn fun gch,neutral
bad,negative
ugh good,negative
happy,positive
wont,negative
completely finish go left right,neutral
ahhhh almost get hat club come gim oh,neutral
wish true,neutral
excite,positive
subject normal,neutral
get accepted,neutral
able along,positive
awe thx much,positive
french,neutral
go memorial die,neutral
grovel show,neutral
believe,negative
great whisk away,positive
miss ups ugh sad get cool super excite look forward,neutral
make,negative
sleep,neutral
awesome around,positive
work,negative
oh na crash like work,neutral
freeze,negative
ono follow may go,neutral
likable still moon,positive
bein one,neutral
say,neutral
go,negative
think pretty good,positive
ty much,positive
happy,positive
united,neutral
read break,neutral
good,positive
lovingly,positive
good,positive
know worth actually show lol,neutral
much,neutral
good,positive
rescue two adorable mix,positive
ohhh,negative
fall apart,negative
slept bed hard back feel like,negative
want,negative
set private,neutral
lettin,negative
ugh,negative
even bc chandler get home later,neutral
watch real good middle,neutral
happy,positive
nice,positive
ugh better,neutral
think,neutral
never see bloody awesome think last however could bad,neutral
great,positive
good,positive
wrong,negative
recoverable,negative
next go like wossy controversial,neutral
last st spend west pack,neutral
look well ard put,negative
oh,neutral
omg muuch,negative
one little girl good,negative
beyond,positive
oh bbq tonight,neutral
mean little giggle,negative
last although deep dish hear,neutral
could either ish heavy,neutral
tell would get hard would never do,positive
bad really need revive nice ice,positive
one want,negative
mr luketic send would ok,neutral
sorry notice ur previous update na happy,negative
happy,positive
watch crimson tide eat,neutral
forever msn,neutral
guess get camp fish together wed braunig,neutral
rollerblade,negative
bike total go anywhere sunday right past,neutral
spamming,negative
enough close twitter follow friday,neutral
happy,positive
work discography later,neutral
make,positive
pray humble always dangerous give,neutral
ulduar hard,neutral
gorgeous,positive
around look hope go get hit,neutral
really insane,negative
expensive,negative
cant,negative
tot follow right make make like,neutral
two away,neutral
really miss already,negative
try best lay,positive
especially love,positive
na go borgata rich,neutral
perfect overcast,positive
finally work sub copy pika nichi,neutral
great,positive
never ever,negative
watch origins drink,neutral
catch avian risk fly awesomely funny,neutral
everywhere love though,neutral
oh find soon,neutral
like support hibernate,neutral
cancel,negative
pretty nice,positive
label electric,negative
leave dj vote n,neutral
work,neutral
plat bird still need get,neutral
sad really really sad,negative
design new,neutral
get,positive
actually one qualify without,neutral
ab still box f,neutral
inflammed,negative
think enthusiastic,positive
bad,negative
piss,negative
soon know,neutral
rip go speak hold change,neutral
great,positive
great,positive
oy writin followin mean delete due strange,negative
tweet garden either bet,neutral
drag,negative
good enough,negative
cant actually zero complain,positive
work,neutral
see teaser costume,neutral
stupid,negative
rotten,negative
get talkin bout say get,neutral
see say vid private guapo,neutral
wow good,positive
gorgeous,positive
happy,positive
fine new wolverine,neutral
head hospital anymore,negative
complete black arrive look forward entertain,positive
jealous,negative
wisely,positive
per,neutral
enjoy,positive
left hope get,neutral
bore,negative
finish study watch,neutral
good,positive
make sure ur next,neutral
difficult,negative
read get,neutral
ugh,negative
may,positive
poor hope recover awful,neutral
cant,positive
good,positive
awfully,negative
annoy,positive
look nice though,positive
nooo love develop crush small one second one,neutral
cant,negative
upset right,negative
sore surgery glad take extra sick full expect call,neutral
sent eric want disappear tried,neutral
think,positive
probably,neutral
happy,positive
get home definitely hit interested,neutral
spend new great lucky,neutral
flap,negative
treat well far,negative
well nice see great soon,positive
remember dont let small big little even worry,neutral
mean u hope get u u,neutral
tire,negative
ok,positive
great,positive
miss,negative
go ek nao instead makati,neutral
pretty sure allow want,neutral
one,negative
smh whack,neutral
like,negative
best,positive
ruin,negative
old get four two,neutral
right strap ready go,neutral
want,positive
absolutely amazing good yay love,positive
make happy,positive
productive,positive
amaze,positive
perfect,positive
u disappoint yet,negative
much brewer,neutral
hong tire,neutral
still melt im shade fair,negative
worst,negative
sober,negative
safe,positive
unfortunately,negative
great,positive
put spamming,neutral
still hurt,negative
get,negative
awwww think try next,positive
um yeah may know little one,neutral
grow,positive
ugh,negative
load,neutral
amaze,positive
find monday busiest come work,neutral
late,neutral
know,neutral
many,negative
good,positive
florida american,neutral
love,positive
good,positive
shall win,neutral
would muchly appreciate,positive
exactly northern richter think,neutral
happy,positive
far,neutral
lose,negative
im,neutral
little still makin,negative
wash get,neutral
happy,positive
usb good get ta find verizon dead since last nite,neutral
sweet,positive
elephant paint back,neutral
know dealin,neutral
easy simple seem,negative
go learn hoedown,neutral
twitter second run leave one,negative
watch slice laugh go,neutral
unfortunately yet,negative
satisfied,positive
always late haha get good,neutral
could afford,negative
go able finish get,neutral
sliverlight,neutral
else think pretty much,neutral
updated different gt nightmare cs,neutral
try make,positive
warm amazake agave,neutral
follow u follow,neutral
web properly shiny,neutral
aww poor add n add,neutral
write seem fail,negative
bad,negative
excite,positive
happy,positive
listen faith,neutral
run cross,neutral
make jealous,negative
happy gutted,neutral
poor,negative
love,positive
really feel like got give work instead skin overrate,neutral
enjoy,positive
block even,negative
plan back,neutral
frustrate,negative
good,positive
nice know comfortable twit tweet u feel,neutral
horrible,negative
yesh online live,neutral
good,positive
work right,negative
distort,negative
good sadly,neutral
better come back soon,positive
want sacred spend,neutral
rubbish know go stick,neutral
go miss kay already,negative
sit bed,neutral
yay go taylor come,positive
miss nathan already,negative
still bore long till next,neutral
look forward really,positive
walk cold,negative
go,neutral
like,negative
shop latte friday fau,neutral
good,positive
busy entire able take next,neutral
make rite,positive
say na come,neutral
make,neutral
yeah think hyper enough girly,neutral
save polar,positive
c finally decide go much,neutral
yes unfuzzy prefer fuzzy clear na turn back,neutral
happy,positive
ill shall take get tattoo,neutral
great,positive
really excited,positive
ipod literally fall apart,negative
get,neutral
best,positive
get mad like speak im alreadt help go da,negative
thursday amaze,positive
seem fit,neutral
good,positive
cant,negative
accept inconvenience,negative
good go far far away ohio,neutral
finally,neutral
maybe innocent,neutral
little sad,negative
never know,neutral
unfollowed build,negative
scary,negative
feel sore,negative
maybe next away much like go,neutral
really know gadget easier find,neutral
kb,neutral
nick get break poor,neutral
absolutely excruciate poor,negative
quite right,positive
sick,negative
wan na watch maybe dvd laptop since,neutral
oh finally find,positive
good,positive
ahh say,neutral
ruin,negative
limited able m go,neutral
san although whether right pretty cold wait suck go surf,neutral
feel bad,negative
great,positive
lovely,positive
feel,negative
much,positive
happy,positive
really hard,positive
must watch want,neutral
oh great latest run,positive
sorry know feel lucky,positive
another,neutral
definitely look silly worth,neutral
lookin,positive
still soo tired,negative
like almost right except,neutral
et magic glow,neutral
go,neutral
apparently could fix plus side refunded buy new one,neutral
take,neutral
nice,positive
listen new green album cross,neutral
much,positive
serious,positive
escape get ready,neutral
miss,negative
wonderful make incredibly fat le exposure diet,neutral
bore,negative
slow,negative
inflate,negative
watch,neutral
absolutely lookin,neutral
almost work,positive
cold,neutral
welcome,neutral
make,positive
cure make gold awesome bad,neutral
host email u want u open,neutral
excite,positive
great,positive
hop go well,positive
really really want golden bad could run around,neutral
feel better teethe,neutral
patricia,positive
good,negative
rain ever since,neutral
great,positive
late look good though,neutral
decorate quite appropriately love,positive
morrrning,positive
partied long hard see ya,positive
one final,neutral
july get mate hm early,neutral
yay followfriday still win though,neutral
stupid wont could would vote u,negative
bad,negative
waitin many new good end like much,neutral
na get,neutral
annoy,negative
ocampo,neutral
low,negative
fam appreciate like,negative
go twitter since work full,neutral
unfortunately think,neutral
still sick,negative
two hilaaaaarious,positive
pay get another,neutral
tonight international head,neutral
wake leave bed,neutral
do dindin hold,neutral
accomplish get do,positive
start move,neutral
good,positive
omgggg amaze wan live,positive
set display last front,neutral
bf,neutral
great,positive
see want looong,neutral
like anyway,positive
well gon na go,neutral
go,neutral
happy,positive
good,positive
also make minimum sims,neutral
keep decide la leg,neutral
san antonio waitress huge mean slow,neutral
find great might play safer till pay,neutral
protect worldwide,neutral
knew go well,positive
one,positive
jealous,negative
late,negative
make little cover upside back,neutral
please check lmk first paysite,neutral
do back bed seemingly unable get sundays great,neutral
miss best,negative
get essay write look get write,neutral
low,negative
like,positive
pay dedicate would rather get slice use,neutral
well best,positive
regret take awesome must find one like,positive
xbox,positive
hold onto,negative
like hard put front,negative
great,positive
soon,neutral
stoke,positive
low low low low low low low low,neutral
neither,neutral
dear finally find,neutral
later,neutral
knew call,neutral
still get go,neutral
live,positive
leave early,neutral
er fairly well,positive
awesome scary,neutral
whisper almost great like,positive
great,positive
write first,neutral
wonder go put one many hope,neutral
discover painful right hopefully turn,neutral
weekened,neutral
ok sleep,neutral
nice,positive
kill lb drag,negative
slam finger,negative
get better stay,neutral
oh totally want trek already see,neutral
find,neutral
finally shift close update happy monday,neutral
nooooo,negative
ahmazing,positive
get like follow,neutral
ii,neutral
procrastinate go lunch though,neutral
bum,negative
like need digital,neutral
say,positive
somewhere new,neutral
back,neutral
much better,positive
sexy,neutral
want give another,neutral
actually invited many concert,neutral
soo stressful,neutral
lisa quiet usa na soon,neutral
cold,positive
know budget,neutral
would work,neutral
favourite,positive
get urge make like massively go,neutral
give u thanx awesome,positive
great,positive
could buy blink presale totally right wait general,neutral
art,neutral
one,neutral
golf shall frolic happy,neutral
happy,positive
love,positive
depress,negative
alone disbelief quite happy beat posit,neutral
better go get soon,neutral
late wrong,negative
good,positive
annoy seem tan apart freckle,negative
goodmorning go balistic,neutral
order still arrive still,negative
divorce,negative
bad,negative
like,positive
know email answer,neutral
poor,negative
good good,neutral
cant sunday oh well,neutral
load take corner fast,neutral
get ta wake,positive
blacklist,negative
great,positive
feel little,negative
feel like juliet bryant,neutral
lucky maybe short really stuff do wed,positive
sucky far hope get better,neutral
n,negative
hopefully,positive
see christoph please tell packed leave,neutral
like,positive
get much gray sudden order roast well see go,neutral
know gon na lame fridaay maybe see,neutral
u obvious,neutral
may suggest,neutral
know well love,positive
get three lift,neutral
bad,negative
